text_embedder,emoji_embedder,accuracy_difference
TF-IDF,TF-IDF,
TF-IDF,Word2Vec,
TF-IDF,FastText,
TF-IDF,BERT,
TF-IDF,Doc2Vec,
Word2Vec,TF-IDF,
Word2Vec,Word2Vec,
Word2Vec,FastText,
Word2Vec,BERT,
Word2Vec,Doc2Vec,
FastText,TF-IDF,
FastText,Word2Vec,
FastText,FastText,
FastText,BERT,
FastText,Doc2Vec,
BERT,TF-IDF,
BERT,Word2Vec,
BERT,FastText,
BERT,BERT,
BERT,Doc2Vec,
Doc2Vec,TF-IDF,
Doc2Vec,Word2Vec,
Doc2Vec,FastText,
Doc2Vec,BERT,
Doc2Vec,Doc2Vec,
